name,representative,website,phoneNumber
Beachwood Construction,Brad Richards,https://www.beachwood.co.nz/,021 887 403
Hammer on Limited,Dean Robottom,,027 541 0732
Bay Homes,Adam Bowden,https://www.bayhomes.co.nz/,027 358 0865
Templeton Construction Limited,BEN TEMPLETON,,03 435 0724
BBMK Commercial Limited,Koen McGee,http://www.bbmk.co.nz/,021 074 4167
Brooks Construction Limited,KERE BROOKS,,027 256 7219
ZT Building Limited,Zane Taylor,,021 060 1867
Stride Builders Limited,John Stride,,027 294 7676
Pearson Construction Limited,Tom Pearson,,027 877 6608
Joe Love Builders Limited,JOE LOVE,,09 434 6119
Begovich Builders Limited,SHAUN BEGOVICH,https://www.begovichbuilders.co.nz/,021 605 682
RLC Construction Limited,Reuben Christian,https://www.rlcconstruction.co.nz/,027 893 2418
R & B Builders Limited,BRETT ARMSTRONG,https://www.rnbbuilders.co.nz/,021 901 200
Harper Construction Limited,55792,https://www.harperconstruction.co.nz/,
Kevin Templeton Building 2017 Limited,IAN LAWS,,027 239 7375
Vista Construction Limited,Matthew O'Sullivan,,021 175 8968
Pearse Construction Limited,Tyson Pearse,https://www.pearseconstruction.co.nz/,021 944 462
Buildtek Projex Limited,LUKE MONAHAN,https://www.buildtekprojex.co.nz/,07 281 0556
Eagle Eye Construction Limited,Simon Malaeulu,http://www.eeconstruction.co.nz/,027 528 1380
Eller Construction,Patrick Eller,,027 696 9302
Valentine Construction Limited,SHAUN VALENTINE,,027 756 9095
Total Home Renovations Limited,ROSS COLLINS,,021 393 877
Unique Builds NZ Limited,Mark Purdy,,07 544 4559
MJ Davie Builder Limited,Malcolm Davie,,06 368 3030
Riverwood Building Limited,Daniel Duffy,https://www.riverwoodbuilding.co.nz/,021 024 26672
Lone Kauri Construction Limited,EZRA CLARK,http://www.lonekauri.co.nz/,027 656 8503
Emerge Homes Ltd,Joel Moore,,022 689 9715
Maax Construction Limited,ADRIAN SLAGTER,,06 844 8133
Breckon Builders Limited,Sean Breckon,,021 141 7596
Matheson Building Limited,Stewart Matheson,,027 325 5087
Keys Construction NZ Limited,Adam Keys,,027 933 8739
ICON,Tom Wilson,,04 387 1747
Supreme Residential Construction,ALAN JOHN ROSS,https://www.buildsupreme.co.nz/,027 777 7844
Beachwood Construction,Brad Richards,https://www.beachwood.co.nz/,021 887 403
Hoult Construction Limited,Jack Hoult,https://www.houltconstruction.co.nz/,027 625 3147
Builderz Limited,Simon McRae,,022 351 3551
CASSIDY&CO LTD,Scott Cassidy,https://cassidyandco.nz/,021 454 161
AA Craftsman Builders Limited,REX WOOD,http://www.aacraftsmanbuilders.co.nz,021 997 428
HSD Building Contractors Limited,DAMIAN HILL,https://www.hsdltd.co.nz/,021 848 940
Renovo Construction Limited,Shaun O'Mara,,09 443 2108
Calibre Builders,STEVE HOLMES,https://www.calibrebuilders.co.nz/,027 546 5637
Bespoke Construct Ltd,Alex Scott,,027 884 8175
GNS Construction Limited,GRAHAM RATTENBURY,,021 851 133
H E Harnett Building Company Limited,HOWARD E HARNETT,https://harnettbuilders.co.nz/,09 438 3467
Seven Hawks Construction,Aigars Vanags,https://www.sevenhawks.nz/,021 256 6856
R & B Builders Limited,BRETT ARMSTRONG,https://www.rnbbuilders.co.nz/,021 901 200
James Morrow Builder Limited,William Morrow,https://www.jamesmorrowbuilders.co.nz/contact.html,09 376 2451
John Tui Moore Building,John Moore,,021 158 8983
Stu McPherson Builder Limited,Stuart McPherson,,027 287 7042
Hawley Builders Limited,Mike Hawley,,027 855 5977
Hodgson Developments Limited,Dave Hodgson,,021 022 55544
360 Construction Limited,C GRIFFITHS,,09 585 0095
Top Mark Construction Limited,Mark Reichardt,https://www.topmarkconstruction.co.nz/,027 276 3872
720 Build Limited,Chris Powell,https://720build.co.nz/,027 548 7720
Brucey Builder Building & Property Maintenance,Bruce Hallinan,,027 492 1502
Olley Construction,MARCUS OLLEY,https://www.olleyconstruction.co.nz/,021 054 4474
TP Building Contractors Limited,TONY PAGE,,027 229 7009
Kia Kaha Construction Limited,Michael Xu,,022 395 9463
Legacy Building NZ,Steve Roberts,https://www.legacybuilding.nz/,020 400 46900
Coastal Concepts Limited,Nigel Srickett,,027 475 1001
Middlewood Contracting,Alwyn McIntyre,,027 877 5121
Parkin Builders (2011) Limited,Logan Parkin,,027 405 8584
R&K Yule Builders Limited,ROB YULE,http://www.wanakabuilders.kiwi/,03 443 9720
Todd Ormsby Builders Limited,TODD W H ORMSBY,http://www.toddormsby.co.nz/,027 554 8248
Thermocrete Limited,MERVYN J LIGHTBODY,,06 754 8311
Goodhand Building Contractors Limited,ROB GOODHAND,http://www.goodhandbuilding.co.nz,021 209 9893
Fitzjames Construction Limited,Thomas Fitzjames,https://www.fitzjamesconstruction.co.nz/,021 253 8491
LM Building Limited,LYNDSAY MCGUIGAN,,027 439 3866
Western Builders Limited,GARY STRAWBRIDGE,,027 224 0940
Glanfield Limited,Brendan Glanfield,,027 264 1070
Whangarei Heads Construction Limited,ISAAC KAKE,,021 222 2359
Villa Builders Limited,GRAEME SAVAGE,,027 442 4754
Kudos Construction Limited,Jay Chapman,,09 410 7049
Blakey Contractors Limited,CRAIG DILLON,,021 829 632
BMK Builders,BRENDON KING,,027 473 5001
Mike Thomson Builders,Mike Thomson,,021 024 68357
SD Linton Building Limited,SIMON LINTON,,027 271 6664
Hargood Renovations & Extensions,SCOTT HARGOOD,http://www.hargoodrenovationsandextensions.co.nz/,027 300 8138
Craigs Building,CRAIG WHITTON,,06 327 5540
H E Harnett Building Company Limited,HOWARD E HARNETT,https://harnettbuilders.co.nz/,09 438 3467
Rodger Murphy - Builder,RODGER MURPHY,,03 444 9960
Betterbuilt NZ,Peter Warren,http://www.betterbuiltnz.co.nz,027 443 2154
McPherson & Bashford Builders Limited,BRIAN BASHFORD,,03 541 8077
Garhel Homes Limited,Gary Sisson,http://garhelhomes.co.nz/,021 682 927
Selwyn Builders,Steve Cusdin,,
Singleton Building Limited,KEVIN J SINGLETON,,09 435 0050
Muldoon Construction Limited,STEPHEN MULDOON,,021 820 620
Clay Hoskin C-Wood Builders Limited,Clay Hoskin,,027 387 4655
Farr Building Limited,Richie Farr,,022 386 1105
PR Builders NZ Limited,PETER RICHARDS,,021 852 572
Mt Pisa Building Limited,MURRAY CLEAVE,,03 445 1282
Maddin Building Solutions Limited,HAYDEN L VILE,,021 811 788
Colab Group Limited,Lloyd Andrews,https://colabgroup.co.nz/,021 027 96177
Bruce Ensor Builders Limited,BRUCE ENSOR,,03 319 7495
Roil Builders,Damian Roil,,021 146 8129
Christie Builders & Joiners Limited,PETER CHRISTIE,http://www.christiebuildersandjoiners.co.nz/,06 843 6676
Auburn Construction Limited,Sam Harris,,021 063 3742
Simon Paul Construction,SIMON PAUL,,027 437 6552
Renovo Construction Limited,Shaun O'Mara,,09 443 2108
Elevate Building Co. Limited,Jared Hislop,https://www.elevatebuildingco.co.nz/,022 065 7994
Aluminium Solutions Taranaki Limited,PAUL S TOFTS,http://www.nebulitetaranaki.co.nz/,06 765 0556
Jebston Holdings Limited,Shane Dalton,,022 676 4585
Mark Lindsay Construction,MARK LINDSAY,,021 831 021
JFM Building Limited,Jake Moore,,027 242 5112
B Beswick,B M BESWICK,,027 633 0204
BES Building Limited,Brian Smith,,021 277 3577
Hawley Builders Limited,Mike Hawley,,027 855 5977
Dave Griffiths Carpentry,Dave Griffiths,,021 434 306
Fraser Carpentry,Travis Fraser,,027 818 0412
RBJ Limited,PAUL ROGERS,https://www.rbj.co.nz/,03 442 3623
R & M Builders Limited,SHAUN P MCCOLLUM,http://www.randmbuilders.co.nz,07 855 6104
Wilson Construction,david wilson,https://www.wilsonconstruction.co.nz/,022 430 5383
SB Construction Limited,SCOTT BARNETT,http://www.sbconstruction.co.nz/,027 696 1417
TWB Building Contractors Limited,Terence Boyes,,021 473 191
Triumph Homes Limited,Benjamin Gunning,,027 423 4448
Limehills Building Services Limited,55424,,027 488 3828
Progressive Build NZ Limited,Jarrod Roberts,,021 486 110
John H Clift Builder Limited,JOHN H CLIFT,,027 457 4810
Carpentry South Limited,ANDREW SMITH,https://www.carpentrysouth.co.nz/,03 202 5597
Grieve Construction Limited,JOHN GRIEVE,,03 308 0328
Ivan Moore Construction Limited,IVAN MOORE,,027 415 0471
SCB Construction,Seamus Bell,,027 232 2717
Future Trade Building Solutions Limited,55131,https://www.futuretrade.co.nz/,021 379 233
Trademark Construction Limited,Andrew Hastie,http://www.trademarknz.com/,03 344 1002
GG Builders,Geordie Grieve,https://www.ggbuilders.co.nz/,027 493 6689
DEC Construction Limited,DARREN ETTRITCH,,021 319 939
Carpentry South Limited,ANDREW SMITH,https://www.carpentrysouth.co.nz/,03 202 5597
Reon Materoa Construction Ltd,Reon Materoa,,022 154 5997
Kerry Mark Builder Limited,KERRY MARK,,06 357 4693
G Thompson Builders Limited,GARRY THOMPSON,,09 530 8717
GL Stevenson Builders Limited,GRAHAM STEVENSON,http://www.glstevensonbuilders.co.nz,027 434 2733
JVL Builders,JAMES VAN LEEUWEN,,027 280 6929
CedarVille,ALAN D WHYTE,http://www.cedarville.co.nz,06 878 0019
N N Construction Limited,NATHAN NICHOLSON,,027 637 4121
Ezra Bell Construction Limited,EZRA BELL,http://www.ezrabellconstruction.com/,022 126 9804
Timberline Homes,CHUAN XU,https://www.facebook.com/gregxu,07 859 3168
Mayco Building Contractors Limited,Chris May,,027 493 2326
Aljon Developments Limited,JONATHON SIMPSON,,021 273 4744
Neil Brown Building Limited,NEIL BROWN,,021 048 7413
Compass Construction Limited,C SHARP,,021 942 180
Footprint Building Queenstown Limited,INNIS HAMILTON,,021 840 909
Pearce Builders Limited,KIPTON PEARCE,,03 443 5977
Index Builders Limited,GRAEME HARTLEY,http://www.indexbuilders.co.nz/,0508 446 339
Coles Construction,Cole Stewart,http://www.colesconstruction.co.nz,027 469 3861
Ray Orr Builders,RAY ORR,,07 376 9970
Nick Prestidge Builder,NICK PRESTIDGE,,027 485 3150
Emerson Building Limited,TONY EMERSON,https://www.emersonbuilding.nz/,021 835 896
Kobe Construction Limited,Blair Tipler,https://www.kobeconstruction.co.nz/,
Vertex Construction Limited,TONY LINDLEY,,027 231 4744
Maroulis Construction Limited,A B MAROULIS,https://maroulis.nz/,021 271 0333
Harrison Building Company Limited,Cater Harrison,,027 239 9029
DS Building Limited,DALLAS M SHAW,http://www.dsbuilding.co.nz/,021 223 0810
Firth Builders Limited,WAYNE RONALD FIRTH,,07 846 5171
Onsite Building Construction Limited,RAKESH KUMAR,,021 715 196
Fairweather Building Limited,JEFF FAIRWEATHER,https://www.fairweatherbuilding.nz/,027 532 8453
Hillco,Nicholas Hill,https://www.hillco.co.nz,03 577 5543
Cogan Custom Homes,Craig Cogan,https://www.cogancustomhomes.co.nz/,021 226 4267
Rick Stonnell Certified Builder,RICHARD K STONNELL,,04 232 1946
Cammell Projects Limited,STEFAN CAMMELL,https://www.cammellprojects.co.nz/,03 451 1404
Ussher Green Building Limited,MATT GREEN,http://usshergreen.co.nz/,027 607 7919
Express Property Maintenance Timaru Limited,Paul Dunstan,https://expresspropertymaintenance.kiwi/,021 293 8985
Bunting Brothers,Mitch Bunting,,021 216 1986
Wade Construction Limited,John Wade,https://www.wadeconstruction.co.nz/,07 378 0535
Betterbuilt NZ,Peter Warren,http://www.betterbuiltnz.co.nz,027 443 2154
Koru Auckland Limited,55687,,021 866 118
HRW Construction Limited,Hunter Williams,,021 262 3450
Maxum Construction Limited,JARROD BARFOOT,http://www.maxumconstruction.co.nz/,09 214 1919
Muirson Construction Limited,Brad Murison,,021 026 49487
MRB Builders,MATTHEW BRUNTON,,021 672 363
DWC Build,Dan Walker,www.dwcbuild.co.nz,021 190 1431
Metro Homes Limited,MARK HARRIS,,027 472 3023
Brydone Building Co Limited,Steve Brydone,,021 222 6112
Koru Auckland Limited,55687,,021 866 118
Russell Lauder Building Limited,Russell Lauder,,021 732 762
Tight Lines Construction Limited,Brinsley Wilson,,
HRC Carpentry Limited,Hamish Carroll,,027 442 1533
K Wei NZ Limited,KANG LIU,,027 269 5996
Michael Foothead,Mike Foothead,,027 450 8605
TBS Developments Limited,Trent Steele,,021 874 947
Patrix Limited,Niglel P Moore,,027 494 7697
EMI Build Limited,MATHEW EMIRALI,www.emibuild.co.nz,021 606 346
Oak Construction Limited,JON PAUL BAND,,06 843 4566
Compass Construction Limited,C SHARP,,021 942 180
JCS,STEVE JOHNSTON,https://www.jcs.org.nz/,021 461 020
Chris De Lury Builders Limited,CHRISTOPHER DE LURY,,03 920 1030
Roil Builders,Damian Roil,,021 146 8129
Ace Builders Limited,55663,,021 075 1893
Craft Homes Limited,Toby Tilsley,https://www.crafthomes.co.nz/,021 025 53091
Buildrite Solutions Limited,ROB FARMER,,027 250 7466
Hobson Delowe Homes,LOGAN JARED HOBSON,http://www.hobsondelowe.co.nz/,027 407 1796
Riverwood Building Limited,Daniel Duffy,https://www.riverwoodbuilding.co.nz/,021 024 26672
A & W Chapman Builders Limited,WAYNE CHAPMAN,,027 484 0878
JMC Builders Limited,JAMIE CORRIGAN,http://www.jmcbuilders.co.nz/,021 052 4447
J Rive Construction Limited,Jonathan Rive,https://www.jriveconstruction.co.nz/,027 678 4222
Holyoake Construction Limited,HENRY HOLYOAKE,,021 734 906
Grant Built Limited,55734,,021 522 500
Mike Muir Builders Limited,Jeremy Muir,,027 240 4816
Ross Leadley Building Limited,ROSS LEADLEY,,027 222 2356
R. Tech Building,Roger Bleyendaal,,027 261 3758
Wright Enterprises Build Limited,JOHN WRIGHT,,027 434 3323
Ian Jensen Design,IAN G JENSEN,,06 364 3264
H&H Builders Limited,MARK HATTRILL,https://hhbuild.co.nz/,027 428 8745
Warren Adolph Homes Limited,W T ADOLPH,https://www.wah.co.nz/,09 818 2921
Get Hammered Building Services Limited,LOGAN FELTS,https://www.gethammered.co.nz/,021 564 263
J.H. Builders Limited,55718,,021 033 0324
Craig Diffey Builder Limited,Craig W Diffey,https://craigdiffeybuilder.co.nz/,06 368 7480
Bungard Building Limited,ALISTER JAMES BUNGARD,https://www.bungardbuilding.co.nz/,027 243 7278
Greenway Developments Limited,STEFAN GREENWAY,https://greenwayhomes.co.nz/,021 274 4886
Clews Construction,MIKE CLEWS,https://www.clewsconstruction.co.nz/,021 502 711
James Morrow Builder Limited,William Morrow,https://www.jamesmorrowbuilders.co.nz/contact.html,09 376 2451
Top 2 Bottom Carpentry Limited,GRAHAM HARFIELD,https://www.top2bottom.co.nz/,09 428 4770
Graeme Farrell Builders,GRAEME JOHN FARRELL,,07 889 7333
Peter Luyt Builder Limited,PETER LUYT,,021 492 701
GDW Builders Limited,GERARD D WILLIAMS,,07 866 0209
Cmbuilt Limited,Campbell Mercer,https://www.cmbuilt.co.nz/,021 024 69960
Rightline Construction Limited,Haydn Miller,,022 176 3403
