name,representative,website,phoneNumber
Harrold Building Limited,55660a,http://www.harroldbuilding.com/,027 253 9861
B.J. Arthurs Builders,BARRY ARTHURS,,021 242 5672
Living Space Design & Build,SANTOSH ANAND,,021 323 228
Integrity Carpenters Limited,CHRIS J MOORE,,021 467 041
D.R Builders Limited,Daniel Russell,,021 057 0783
About Time Building Maintenance,GARY PEPPERELL,,021 849 400
Hatton Building Limited,John Hatton,,03 615 8254
DH Kettles Builder Limited,DAVID H KETTLES,,03 349 6075
Emerson Building Limited,TONY EMERSON,https://www.emersonbuilding.nz/,021 835 896
Todd Ormsby Builders Limited,TODD W H ORMSBY,http://www.toddormsby.co.nz/,027 554 8248
Papworth Building Limited,Gavin Papworth,https://www.papworthbuilding.co.nz/,06 863 1990
Tomik Limited,TODD FLASHMAN,http://www.tomik.co.nz/auckland-builder.html,021 839 465
Pzazz Building,Rudy A van Vlerken,https://www.pzazz.co.nz/,027 442 1049
Bishop Building Limited,Barry Bishop,https://www.bishopbuilding.co.nz/,07 576 2912
Bell Developments,TOM BELL,,027 726 2606
Ash Builders Limited,Mohammed Khan,,09 820 4485
Andrew O'Connell Building Contractor Limited,ANDREW O'CONNELL,,021 511 441
GB Carpentry,Glenn Beauchamp,,021 194 4071
Belvedere Developments Limited,Andrew Leon Birchenough,https://www.belvederegroup.co.nz/,07 579 0109
Elevated Homes Limited,STEVE WOLVEKAMP,http://www.elevatedhomes.co.nz,027 498 5540
Campbell Builders Limited,GRANT CAMPBELL,,021 436 019
Livefirm Construction (North Island) Limited,Teck Khing Yong,,09 265 0493
Bennett Homes Limited,AARON BENNETT,https://www.bennetthomes.co.nz/,027 696 2182
Tradeline Builders and Marine Limited,AARON WEATHERLEY,,09 459 5299
Bayview Construction Limited,55691,,027 465 7025
Daly Construction NZ Limited,PAUL DALY,https://www.dalyconstruction.co.nz/,021 071 3772
Salt Construction Limited,HUGH NISBET,https://saltconstruction.co.nz/,021 407 722
Zac Wilkinson Construction Limited,ZAC WILKINSON,,021 289 8922
Kia Kaha Construction Limited,Michael Xu,,022 395 9463
Travis Taylor Builders,TRAVIS TAYLOR,https://www.ttbuilders.co.nz/,021 794 927
Dean Stewart Builders,DEAN W STEWART,https://www.deanstewartcontracting.co.nz/,07 895 8090
MileHigh Construction Limited,Aaron Sheely,https://milehighconstruction.co.nz/,027 415 3786
CE Construction Limited,CAMERON EVANS,,021 878 318
Location Homes Mid North,Phil Lord,https://www.locationhomes.co.nz/,09 431 5966
Wrap Master Limited,Yue Wang,http://wrapmaster.co.nz/,0800 969 727
Orewa Solutions Limited,Tom Watson,,09 627 0310
Cadmy Builders Limited,Cadmy Vlasin,http://cadmybuilders.co.nz/,027 321 4811
Tekapo Builders,MITCH HAMMOND,,027 485 1200
Intact Construction Limited,M FARRELL,,021 340 999
Legendary Homes Limited,Shijie Chen,,021 545 223
Dilworth Building,Evan Dilworth,,027 353 0149
McDonald & Pretty Construction Limited,Hamish McDonald,https://www.mpconstruction.co.nz/,021 023 61807
Superior Build NZ Limited,Gareth Barnsley,,09 473 2138
GBM Construction Limited,Greg Moleswoth,,027 538 2878
Weal Construction Limited,TED FENTON,,09 426 3025
Bespoke Construct Ltd,Alex Scott,,027 884 8175
Bindon Construction Limited,Mark Bindon,http://www.bindonconstruction.co.nz,09 444 1366
HRC Carpentry Limited,Hamish Carroll,,027 442 1533
Clint Jarvis Contracting Limited,Clint Jarvis,,027 335 8449
George Construction Limited,BRUCE GEORGE,,06 751 3697
Auburn Construction Limited,Sam Harris,,021 063 3742
Hylkema Homes,NATHAN HYLKEMA,,021 482 440
Mighty Build Limited,Bryce Knight,https://mightybuild.co.nz/,027 727 5965
Rob Dennison Builders Limited,ROB DENNISON,,021 037 0292
JP Project Management,John Bae,,09 473 7578
Kennedy Brothers Building Limited,WILLIAM KENNEDY,https://www.kennedybuilding.nz/,027 275 4683
Elegant Kiwi Homes,Ivan Presquito,http://www.ekh.co.nz/,027 495 5261
A & F Sibbing Limited,Arjan Sibbing,,027 600 7598
N Gibson Building Ltd,Nathan Gibson,,021 029 50139
Joyce Building,Regan Joyce,,027 241 6395
Tekton Builders Limited,Jonn Ripo,https://www.tektonbuilders.co.nz/,021 222 4004
GJ Bills Limited,G J BILLS,,021 980 813
Cameron Dench Builders Limited,CAMERON DENCH,,06 354 5035
Dave Clarkson Builders Limited,DAVID CLARKSON,,021 143 8810
Insite Builders Limited,ANDREW B ROBERTSON,,021 477 556
CS Building Limited,CURTIS JOHN SEARANCKE,,021 587 847
Benmore Builders Limited,Paul Reeves,,
M Sampson Builders Ltd,Michael Sampson,https://www.msampson.co.nz/,021 477 621
RFC Homes,Ryan Freer,http://www.rfchomes.co.nz/index/page,021 187 0607
AGL Building Hawkes Bay Limited,GREG MARGERISON,http://aglbuilding.co.nz,027 663 3131
Mike Reidy Builders Limited,MIKE JOHN REIDY,https://www.mikereidybuilders.co.nz/,021 270 9357
Dale Building Limited,Tom Dale,Dale Building Limited,027 615 1643
Rabcor Builders Limited,DANIEL CORRY,,027 251 8453
Garage Doors & Openers Limited,Shaun Browne,https://garagedoorswairarapa.co.nz/,06 377 4337
Hutton Builders Limited,LANCE DG HUTTON,https://www.huttonbuilders.co.nz/,09 238 6943
Five Star Contractors Limited,Josh Thompson,,021 578 277
Character Builders Limited,GUY GILLESPIE,https://characterbuilders.co.nz/,0800 242 722837
Brucey Builder Building & Property Maintenance,Bruce Hallinan,,027 492 1502
Tiny Mod Limited,James Nicol,https://www.modbox.co.nz/,021 382 513
McMillan Building Limited,CRAIG MCMILLAN,,07 855 2043
G J Gardner Homes (Manukau),Rachel Soakell,,
V & J Construction Limited,VICTOR WOOSEUNG JIN,,021 202 1048
Norris Construction Limited,KARL NORRIS,,027 549 6323
Qual-Built Projects Limited,SHANAN MILLAR,https://qualbuilt.co.nz/,0800 728 458
Highland Construction,Johnny Waddell,,027 736 0061
Broadhurst Builders Limited,Max Broadhurst,https://www.broadhurstbuilders.co.nz/,022 276 2343
Kortegast Construction Limited,Mitch Kortegast,,027 710 9145
SK Toulis,S K TOULIS,,04 938 8142
Robin Bradshaw Builder,ROBIN J BRADSHAW,,027 460 1115
Dhillon Builders Limited,Lovedeep Singh,,021 216 2599
John Burke & Co (2020) Limited,John Burke,,021 868 245
Justa Builder Ltd,Samuel Hobbs,,027 722 2321
Re-Com Projects,David Roberts,,
Mike Burge Builders,MIKE BURGE,,021 847 020
PGM Construction Limited,Patrick Manning,,021 244 3400
Edgecity Builders Limited,NICHOLAS J FARRELLY,https://www.edgecitybuilders.co.nz/,09 826 1576
CH Construction New Zealand Limited,CRAIG HARKNESS,https://www.chcnz.co.nz/,09 294 7027
Kea Building Limited,Wei Song,,021 235 9095
PR Builders NZ Limited,PETER RICHARDS,,021 852 572
A J R Construction Limited,Aidan Ryan,http://www.ajrconstruction.co.nz,021 138 9518
A & F Sibbing Limited,Arjan Sibbing,,027 600 7598
Fountain Construction Limited,Xialong Liu,,09 473 9702
Chad Niwa Building Limited,55351,,027 488 9475
Kortegast Construction Limited,Mitch Kortegast,,027 710 9145
Smart Construction Limited,JEON JOO LEE,,09 480 8682
Carroll Carpentry,Paul Carroll,https://carrollcarpentry.co.nz,021 268 0175
DRD Builders Limited,Jesse Dyson,http://www.drdbuilders.co.nz/,021 982 122
King Build Limited,Tauri King-McTainsh,,021 169 0704
Brotherhood Construction (1989) Limited,Oliver Mo,,022 340 2230
Notorious Homes Limited,Luke Neho,,022 091 9286
Award Builders Limited,BRUCE A WARD,,06 357 5915
Generation Homes Auckland South,Sean Bignell,https://www.generation.co.nz/auckland%20south,09 298 6317
Cardea Construction Limited,RICHARD LONG,,027 574 1458
B D Built Limited,Ben Dean,,027 223 2483
MJC Construction Limited,MARK A COCHRANE,http://www.mjcconstruction.co.nz,027 764 4010
Living Construction Limited,Amon Johnson,,021 312 320
MJ Harris Building Contractors Limited,MICHAEL J HARRIS,,021 380 659
Douglas Building Contractors,ANDREW DOUGLAS,,027 414 4111
Champex Consulting Limited,MARTEN METZ,,09 376 0887
Blair Ruscoe,Blair Ruscoe,,021 087 57207
LnB Construction,BRUCE WALKER,https://lnbconstruction.co.nz/,021 587 762
Back Country Building Limited,Taylor Cuff,,027 870 9504
Day Construction,BRIAN DAY,http://www.dayconstruction.co.nz,09 574 6830
Livingstone Homes Limited,Wen Wang,,021 230 7891
Tradeline Builders and Marine Limited,AARON WEATHERLEY,,09 459 5299
BA & LR Anderson Builders,BRENT A ANDERSON,,03 302 8735
NuHomes & Renovations,JAMIE MEAR,https://nuhomes.co.nz/,021 684 663
Hammered It Construction Limited,Anthony Hay,,022 192 8718
Elite Built Limited,SHAWN COTTON,,021 782 267
Total Constructit Limited,Reginald Anand,,027 620 0051
Taylor & Brown Builders Limited,DAVID R BROWN,http://www.taylorcobuild.co.nz/,027 473 5293
Outlast Builders Limited,Sam Turner,https://www.outlastbuilders.co.nz/,021 499 773
Morven Design & Build Limited,Michael Veasey,www.morvendesignbuild.com,027 722 7772
RJ Callaghan - Builder,ROBERT JOHN CALLAGHAN,,04 478 7051
K & S Sellars Building Limited,KARL N SELLARS,,027 430 6501
Digby Toothill Builders,DIGBY TOOTHILL,http://www.dtbuilders.co.nz/Hawke_Bay_Builders_-_DT_Builders/DT_Builders.html,06 838 3999
Greenaways Limited,Luke Greenaway,https://www.greenaways.co.nz/,021 141 9647
Aaron Dodd Builders,AARON DODD,,027 414 6866
Batten Builders Limited,Ethan Batten,,027 363 8851
M E Building,JARROD EADES,https://mebuilding.co.nz/,021 217 1480
Aurum Building Limited,Anthony Dickey,,
Resibuilt Limited,Kieran Van Dorsten,,027 203 3538
Tag Construction Limited,Trentan Gearry,http://www.tagconstruction.nz/,021 866 740
Outlast Builders Limited,Sam Turner,https://www.outlastbuilders.co.nz/,021 499 773
Dass Builders Limited,BARJINDER SINGH,,
Parr Builders Ltd,Brett Parr,,027 788 8043
D Mac Construction Limited,Daniel Macarthur,,027 427 0788
KJB Contracting Limited,KARL JOHN BOOMSMA,,03 443 4555
Hillco,Nicholas Hill,https://www.hillco.co.nz,03 577 5543
Allan Building Ltd,Denie Allan,,021 594 180
Hammer Projects Limited,Andy Green,,021 661 425
Henwood & Keenan Construction Limited,Logan Henwood,,021 109 9659
Complete Residential Limited,Greg Ninkie,https://www.crl.build/,021 808 078
P T Building and Construction Limited,Peta Taukiri,,027 476 2270
Jen Builders Limited,JAYANTI LAL,,09 527 3844
Linear Homes,Jonathan Milne,,021 027 11210
Ben Cameron Builders Limited,Ben Cameron,,027 244 7916
Vision Built Limited,55371,,027 425 2787
Luxe Build Limited,MATTHEW SEYMOUR,,021 174 6800
JFS Construction Limited,JOHN SUGRUE,,021 399 339
New Era Builders Limited,Subramani Gaunder,,021 278 0471
Matt Smith Construction Limited,Matt Smith,,
Aaron Stewart Builders Limited,AARON STEWART,,027 457 2125
JW Construction Limited,JOHN WORGAN,,021 415 481
Vision Homes Limited,ALAN DICK,https://www.visionhomes.co.nz/,06 843 0432
Bayside Designer Homes,Simon Jacks,https://baysidehomes.nz/,022 184 7062
CASSIDY&CO LTD,Scott Cassidy,https://cassidyandco.nz/,021 454 161
Absolute Build Limited,MARK TODD,https://www.absolutebuild.co.nz/,027 227 7551
JP Project Management,John Bae,,09 473 7578
Handley Building Limited,JOHN S HANDLEY,http://www.handleybuild.co.nz,09 413 7127
James McConachie Builders,55575,http://www.jmbuild.nz,027 654 1974
md construction,MARK DOBBS,http://www.mdconstruction.co.nz,09 434 7774
Commuto Limited,Carl Dwyer,,021 028 45325
Chernishoff Construction Ltd,Excenti Chernishoff,,027 214 3964
Patrick Kilkelly Builders Limited,PATRICK KILKELLY,,021 411 046
Mark Brewerton Builders Limited,MARK BREWERTON,,03 541 0445
Renovations and Redesigns,Chris White,,022 437 1930
Gavegan Building,David Gavegan,,021 508 049
KWN Construction Limited,Nick Ng,,021 146 9087
Rightway Building Limited,Aaron Hawkins,,027 280 6811
Broadhurst Builders Limited,Max Broadhurst,https://www.broadhurstbuilders.co.nz/,022 276 2343
Cameron Builders,DUANE CAMERON,http://www.cameronbuilders.co.nz/,04 293 5946
M & D Winiata Builders,MARK WINIATA,,027 450 3003
Rob Littlejohn Builders 1998 Limited,ROBIN LITTLEJOHN,http://www.roblittlejohnbuilder.co.nz/,09 430 0851
Hughbuilt Limited,G P HUGHES,,027 436 2501
Patchett Builders Limited,55706,https://www.patchettbuilders.co.nz/,021 818 213
Piutau Construction Limited,Robert Piutau,,022 413 5724
Argonaut Builders Ltd,Mark Fogarty,,021 234 6123
Modern Building Solutions Ltd,John Scantlebury,https://modernbuildingsolutions.co.nz/,027 271 4530
GTS Construction Limited,GRAEME STATHAM,,027 477 9478
Build NZ Ltd,Marcus Davies,http://www.buildnz.co.nz/,021 400 578
Inside Out Home Maintenance Limited,STUART M FOOTE,,07 850 6008
Tech Neat Builders,BRENT G HIGGINS,,021 280 0783
RS Construction Ltd,Qiaojin Liang,,021 496 628
Reon Materoa Construction Ltd,Reon Materoa,,022 154 5997
Fraser Carpentry,Travis Fraser,,027 818 0412
Edwards Builders,Beau Edwards,https://www.edwardsbuild.co.nz/,022 687 3021
Qualmax Limited,I R MCGILL,http://www.qualmax.co.nz/,021 833 399
Henwood & Keenan Construction Limited,Logan Henwood,,021 109 9659
Brett Switzer Builders (2010) Limited,BRETT JOHN SWITZER,,09 408 7116
K2 Construction (2007) Limited,KARL DALTON,,07 854 6403
Timbercraft,Peter Grant,,021 344 666
PJ Construction (2006) Limited,Paul Watkins,,09 426 3206
TSP Construction Limited,TODD STRODE-PENNY,http://tspconstruction.co.nz/,021 582 631
Brophy Construction Limited,Stephen Brophy,,021 035 2122
Absolute Builders,SHANE SORENSEN,,021 800 808
JFM Building Limited,Jake Moore,,027 242 5112
Belvedere Developments Limited,Andrew Leon Birchenough,https://www.belvederegroup.co.nz/,07 579 0109
Kyuss Construction Limited,Gareth O'Neill,,021 901 321
Bakalich Builders Limited,Daniel Bakalich,,027 424 6773
Bindon Construction Limited,Mark Bindon,http://www.bindonconstruction.co.nz,09 444 1366
Robertson Builders Limited,Glen Robertson,,027 476 4572
David Keen Building Limited,DAVID KEEN,,03 693 7003
Selwyn Builders,Steve Cusdin,,
Paramount Builders Limited,Ranjay Singh,,021 042 1491
Riverwood Building Limited,Daniel Duffy,https://www.riverwoodbuilding.co.nz/,021 024 26672
JP Project Management,John Bae,,09 473 7578
HMC Construction Limited,Hamish Connell,https://www.hmcconstruction.co.nz/contact,022 394 4530
C J Building Services,CRAIG POLLARD,http://www.cjbuilding.co.nz,021 227 5663
Maax Construction Limited,ADRIAN SLAGTER,,06 844 8133
Ask Metro Limited,DAVID T EARL,https://www.askmetro.co.nz/,09 835 1447
Richard Seeger Builders Limited,RICHARD SEEGER,,027 476 8266
Landview Homes,MATT DRYLAND,,027 242 0901
Revive Build,Chris Dodd,,09 530 8749
G & G Building Services,GRANT CLAUSON,,027 472 5679
JBG Construction Limited,Peter Armitage,http://www.jbg.co.nz/,04 232 9968
Blackwood Homes Limited,James May,,09 411 8961
Atrium Homes Limited,ALLAN SHAW,,07 578 4646
Island Bay Builders Limited,JASON GRECO,,021 399 224
Integral Construction Limited,LINDSAY CAMERON,,021 953 519
Hudson Builders,TOM HUDSON,,027 281 3812
FTH Construction Tapui Limited,Fred Hill,,027 404 8430
Ironstone Construction Limited,Guy Abraham,,03 359 4399
Miro Construction,ROBERT HOWDILL,http://www.miropm.co.nz/,09 415 6476
RJ Merrifield Limited,RICHARD J MERRIFIELD,,021 322 476
Kingsbury & Veitch Construction Limited,William Veitch,www.kvconstruction.co.nz,022 043 2196
Paul Erceg Builder Limited,PAUL ERCEG,,021 468 853
F & P Builders The Bathroom Store,F SCHMIDT,http://www.thebathroomstore.co.nz,027 479 3692
City Care Limited,55834,https://www.citycare.co.nz/,03 9417200
Wright Enterprises Build Limited,JOHN WRIGHT,,027 434 3323
Champex Consulting Limited,MARTEN METZ,,09 376 0887
McHugh Building Limited,Ben McHugh,,027 537 9793
Camel Construction Limited,TIM HAMER,,021 749 374
Kettleridge Homes Limited,Liam Kett-Eldridge,,027 336 2977
Amon Perry Builders Limited,Amon Perry,,022 354 3050
CedarVille,ALAN D WHYTE,http://www.cedarville.co.nz,06 878 0019
Kalindale Builders Limited,Richard Kalin,http://www.kalindalebuilders.co.nz,027 361 4157
Grant Scott Builder Limited,GRANT SCOTT,,03 332 6833
Kerry Mark Builder Limited,KERRY MARK,,06 357 4693
Duncan Hare Builders Limited,Duncan Hare,https://www.duncanharebuilders.com/,022 160 6128
Villa Builders Limited,GRAEME SAVAGE,,027 442 4754
Longbush Builders Limited,GLEN VALSTER,,027 226 8139
Wells Builders Limited,ROGER D WELLS,,06 363 8448
Ruru Building Solutions,Alan Meehan,,027 550 7072
CH Construction New Zealand Limited,CRAIG HARKNESS,https://www.chcnz.co.nz/,09 294 7027
Mr Homes Inspector,Duncan Cameron,https://mrhomesinspector.co.nz/,021 266 2524
D'Ath Construction Limited,PHILLIP D'ATH,,021 637 151
Cambridge Building Services Limited,JAY DAHLBERG,http://cambridgebuildingservices.co.nz/,027 445 1029
O'Leary Homes Limited,GREG O'LEARY,http://www.olearyhomes.co.nz/,021 304 401
D Build Limited,DEON NEVILLE,http://www.dbuild.co.nz/,021 226 7996
Beach Bay Construction,Charlie Huxtable,https://www.beachbaylandscaping.co.nz/,027 268 7733
RLC Construction Limited,Reuben Christian,https://www.rlcconstruction.co.nz/,027 893 2418
Customs Builds,Jesse Darby,http://www.jjcustombuilds.co.nz/,027 277 5416
Great Dane Builders Limited,Dane Richards,,021 970 066
Adams Construction Limited,MICHAEL J ADAMS,,027 662 4848
Graham Green - Builder,GRAHAM GREEN,,027 246 7303
Feutz & Goldsmith Builders (2008) Limited,CRAIG FEUTZ,,03 359 6046
Alan J Coulton,ALAN J COULTON,,06 753 5690
Mark Wilcox Builders Limited,MARK WILCOX,,021 397 011
K Wei NZ Limited,KANG LIU,,027 269 5996
Reef View Construction Ltd,Shahin Khan,https://www.reefviewconstruction.co.nz,021 039 9057
URBANZ Building Limited,MALCOLM COLE,https://urbanzbuilding.co.nz/index.html,03 312 8880
Rockstead Construction Limited,Doug Sturrock,,027 329 8406
Greenroom Carpentry Limited,Michael Hauke,https://www.greenroomcarpentry.com/,027 492 5895
Urbanstar Developments Limited,Steve Harris,,022 160 9838
Precise Building Limited,TIM RYNBECK,,027 493 3905
Matt Smith Construction Limited,Matt Smith,,
Countryside Homes Ltd,Andrew Campbell,,021 415 909
Modern Bay Builders Limited,SHAUN MCKAIN,,07 863 1175
Megastructures 2007 Limited,WES VAN DER LINDEN,,027 593 7835
Building-Right Construction Limited,YANG XIAO,,027 288 3288
Russell Lauder Building Limited,Russell Lauder,,021 732 762
Aitking Builders,Leo King,,021 025 95488
GEO Builders Limited,Grant Oughton,https://www.geobuilders.co.nz/,021 192 2122
Black Label Builders Ltd,Matt Davies,,027 207 8551
BuildCraft Construction Limited,55363,,021 706 222
Dunstan Builders Limited,BRETT DUNSTAN,,027 490 0391
Advance Construction 2017 Limited,Thomas Robinson,,027 575 5866
HBL- Hawthorne Building Limited,Graeme Hawthorne,,021 285 2363
Rodger Murphy - Builder,RODGER MURPHY,,03 444 9960
AN Mayhead Building Contractor,Adrian Mayhead,,027 448 4227
Galloway Builders Limited,A H GALLOWAY,http://www.gallowaybuilders.co.nz,027 203 9731
Seascape Building,RICKY GOODLET,,027 284 1324
Lehmann Building Limited,Dean Lehmann,,021 182 4835
McGeady Builders Limited,ANDREW J McGEADY,http://www.mcgeadybuilders.co.nz,021 499 590
PC Headland - Builder,PETER C HEADLAND,,09 275 7906
CASSIDY&CO LTD,Scott Cassidy,https://cassidyandco.nz/,021 454 161
K Argyle Builders Limited,55634,,022 016 9300
MVM Construction Limited,KELIN BI GARY,,021 680 398
Higgs Building Co Limited,Shaun Higgins,https://www.higgsbuilding.co.nz/,022 610 7144
R & P Building Works Limited,Robert Abraham,,021 387 427
Harper Homes Limited,Mark Harper,http://www.harperhomes.co.nz,021 997 408
Gavegan Building,David Gavegan,,021 508 049
BSA Builders Limited,Bobby Sio-Atoa,,
Chris De Lury Builders Limited,CHRISTOPHER DE LURY,,03 920 1030
Smith The Carpenter,STEVE SMITH,http://www.smiththecarpenter.co.nz,021 711 873
EKG Construction Ltd,Vikram Gill,,022 405 2452
W & D Mellis Builders Limited,DAVID MELLIS,,09 626 5702
Buildwell Developments Limited,JONATHAN HAGUE,,027 438 8080
Narlo Builders,Byron McPartland,,027 202 8428
Livefirm Construction (North Island) Limited,Teck Khing Yong,,09 265 0493
Quinlan Quality Homes Limited,RICK QUINLAN,www.quinlanquality.co.nz,021 159 6534
Jason McColl Builders Limited,Jason McColl,,021 292 2884
Corinaldi Builders NZ Limited,Stephen Corinaldi,,021 371 797
Exceed Building & Outdoor Solutions,Wayne D Goldsbro,http://www.exceedoutdoors.co.nz,07 572 1099
R and R Construction,55655,,07 888 8483
D.R Builders Limited,Daniel Russell,,021 057 0783
JFM Building Limited,Jake Moore,,027 242 5112
JRA Construction Ltd,Joe Allen,http://www.jraconstruction.co.nz,021 276 9971
KC B Limited,CHRIS POTIER,http://www.kcbltd.co.nz/,021 968 963
P Kraakman Builders Limited,PETER KRAAKMAN,,09 236 3597
Bullock Built Limited,Cole Bullock,,021 146 2637
Home Projects Limited,A J SAMPSON,http://www.homeprojects.co.nz,021 522 667
90 Degrees Construction,Luke MacGibbon,https://www.90degrees.co.nz,027 319 4331
Gary Schwass Building Limited,GARY S SCHWASS,,07 308 8087
Building Central,Christopher Smith,https://buildingcentral.co.nz/,027 488 9349
Morton Building Limited,Daniel Morton,,027 318 2050
KWN Construction Limited,Nick Ng,,021 146 9087
GRT Builders Limited,GLENN R TRAFFORD,,021 478 237
RSE Accommodation Solutions Limited,Zane Crisp,https://rseaccommodationsolutions.co.nz/,022 282 7623
Great Dane Builders Limited,Dane Richards,,021 970 066
Urban Design Build Canterbury,Malcolm Turner,,03 352 3870
T McClew Builders,TIM MCCLEW,,021 273 9601
Argonaut Builders Ltd,Mark Fogarty,,021 234 6123
Priceless Homes Limited,Aubrey Bolton,,06 368 9013
Straight Up Construction Limited,RICHARD PETER BELL,,021 303 155
Weal Construction Limited,TED FENTON,,09 426 3025
Insitu Building Co. Limited,David Lamb,,027 612 5186
LRC Solutions Limited,55647,,027 572 2022
Wayne Wright Construction Limited,WAYNE WRIGHT,,03 322 7362
Joyce Built Limited,Jordan Joyce,,022 128 1259
Glen Law Building Limited,Glen Law,,027 374 2370
Livingstone Homes Limited,Wen Wang,,021 230 7891
DSB - Daniel Smith Builders,Dan Smith,,027 318 3168
BMK Builders,BRENDON KING,,027 473 5001
Central Building Limited,TONY FARLEY,https://www.centralbuilding.co.nz/,022 016 7080
Kettleridge Homes Limited,Liam Kett-Eldridge,,027 336 2977
Honeycomb Construction Limited,William Lin,,027 520 0117
Handley Building Limited,JOHN S HANDLEY,http://www.handleybuild.co.nz,09 413 7127
Circle D Construction Limited,DAVE CRABB,https://www.circledconstruction.co.nz/,021 804 889
Authentic Kiwi Building Limited,55677,https://www.akbuilding.nz/,04 971 0034
Total Constructit Limited,Reginald Anand,,027 620 0051
Joe Love Builders Limited,JOE LOVE,,09 434 6119
Simon Pratt Building Limited,Simon Pratt,,027 277 2889
RB built,ROD BOYD,http://rbbuilt.co.nz/,021 502 664
Majestic Builders And Landscaping (2013) Limited,JOHN ZELDENRUST,,021 904 184
Victoria Jasper Limited,55585,,
MileHigh Construction Limited,Aaron Sheely,https://milehighconstruction.co.nz/,027 415 3786
Albon Building Taranaki Limited,GARY ALBON,http://www.albonbuilding.co.nz/,021 399 770
EF Construction,DEAN JOHN ELLIS,,027 412 2088
Patrix Limited,Niglel P Moore,,027 494 7697
MBD Builders (2016) Limited,EUAN M SMITH,https://www.mbdbuild.co.nz/,09 818 7976
Lucid Homes Limited,Dylon Walsh,http://www.lucidhomes.co.nz,027 228 8945
CBD Carpentry,CRAIG DONALDSON,,021 953 972
Woodline Homes Limited,Singh Sukhwinder,,020 401 04770
Generation Homes Auckland South,Sean Bignell,https://www.generation.co.nz/auckland%20south,09 298 6317
Form Concepts Limited,GEOFFERY JUDD,,021 387 543
Shoreline Builders Limited,Khan Gordon,https://www.shorelinebuilders.co.nz/,021 027 33366
H E Harnett Building Company Limited,HOWARD E HARNETT,https://harnettbuilders.co.nz/,09 438 3467
Cooper & Cooper Limited,GRAHAM COOPER,https://cooperrenovations.co.nz/,09 818 0189
Mayco Building Contractors Limited,Chris May,,027 493 2326
Silver Creek Construction Limited,Luke Bowen,,027 819 4599
Exceed Homes Limited,Jade McNamara,https://www.exceedhomes.co.nz/,021 658 277
Glen Summers Building & Construction Limited,Glen Summers,http://www.glensummersbuilding.co.nz/,021 455 218
Richdale Builders Limited,56387,,027 408 8882
Clay Hoskin C-Wood Builders Limited,Clay Hoskin,,027 387 4655
McPherson & Bashford Builders Limited,BRIAN BASHFORD,,03 541 8077
The Smithery,GLEN WHATMOUGH,https://www.thesmithery.co.nz/,09 475 6242
Circle D Construction Limited,DAVE CRABB,https://www.circledconstruction.co.nz/,021 804 889
Building Concepts (NZ) Limited,JOHN G WRIGHT,https://www.buildingconcepts.co.nz/,027 550 0202
Glanfield Limited,Brendan Glanfield,,027 264 1070
Mightymakers Construction Limited,WILLIAM LEE,,021 896 697
Hill Builders Limited,TREVOR HILL,,07 312 9407
D & G Developments Limited,DON MAY,,021 977 796
Scott Witherow Builders,Scott Witherow,,
Hampstead Homes Limited,NATHAN MASTERS,http://www.hampsteadhomes.co.nz/,027 518 1888
Souness Builders Limited,ANDREW SOUNESS,,021 468 038
Thony Builders Limited,Ingo Thony,https://thonybuilders.co.nz/,09 832 3285
Ricardo Butturini Limited,Ricardo Butturini,,021 142 6972
Trendset Construction Ltd,Paul Beadle,,021 083 13421
Bethel Buildings Limited,Will Andrew,http://www.bethelbuildings.co.nz/,021 166 5865
Makeco Ltd,Jonnie Catp,https://www.makeco.nz,022 189 6970
PBS,Pablo Willmann,,021 944 260
ProRise Limited,STEVE FRANKLIN,,021 990 497
Roger Gibb Builders,ROGER PATRICK GIBB,http://www.rogergibb.com/,021 487 015
Custom Builds Limited,Sean Cockburn,http://custombuilds.co.nz/,027 518 0808
J. Hay's Design & Build Limited,Josh Hay,,021 026 66329
BIM Projects Limited,Kane Chamberlain,,022 318 7400
Jun Homes Limited,Peter Bae,,021 507 001
O'Connor Building Limited,55749,,027 427 1007
Pro Built NZ,Cam Gibson,https://www.probuiltnz.co.nz/,027 565 3200
Owen K. Trading Limited,55748,,027 516 9586
Drinnan Building Services Limited,BARRY DRINNAN,,027 226 5562
Grant Mace Builder Limited,JAMES GRANT MACE,,027 606 6633
Higgs Building Co Limited,Shaun Higgins,https://www.higgsbuilding.co.nz/,022 610 7144
M2 Construction Limited,HAYDEN MERRIFIELD,,021 756 681
James Henderson Building,James Henderson,,022 609 1426
Glanfield Limited,Brendan Glanfield,,027 264 1070
Apex Builders,LEE WINTER,,027 447 6803
ABC Homes,TANE BROTT,https://abchomes.co.nz/,021 713 111
LIVEWEL Construction Limited,Ben Ingledew,https://www.livewel.co.nz/,021 387 870
M. B. Parres Contracting,Micah Parres,,021 250 4367
SB Construction Limited,SCOTT BARNETT,http://www.sbconstruction.co.nz/,027 696 1417
Veitch Construction Limited,JOHN VEITCH,,027 433 6797
Frampton Construction Limited,John Frampton,,027 263 6704
Singleton Building Limited,KEVIN J SINGLETON,,09 435 0050
Couga Construction Limited,ANDREW COUGHLAN,,027 675 0842
Inch Building Limited,JASON INCH,,027 485 9788
Gilligan Building Ltd,Adam Gilligan,,027 689 2747
Central Blue Limited,OWEN PHILIP,,021 322350
